StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
23440,32349,48915,2491,Gl 244  A,  9Alp CMa,Sirius,6.7525694,-16.713143,2.63706126,-1.44,1.45439891,A0m...      ,0.009
21936,30438,45348,2326,,   Alp Car,Canopus,6.39919184,-52.695718,95.8772771,-0.62,-5.5285785,F0Ib        ,0.164
50628,69673,124897,5340,Gl 541   , 16Alp Boo,Arcturus,14.2612076,19.18727,11.254924,-0.05,-0.3067128,K2IIIp      ,1.239
51926,71683,128620,5459,Gl 559  A,   Alp1Cen,Rigel Kentaurus A,14.6613607,-60.835147,1.34749097,-0.01,4.34237068,G2V         ,0.71
65795,91262,172167,7001,Gl 721   ,  3Alp Lyr,Vega,18.6156072,38.7829931,7.75614675,0.03,0.58176991,A0Vvar      ,-0.001
17425,24608,34029,1708,Gl 194  A, 13Alp Aur,Capella,5.27813767,45.9990293,12.9382844,0.08,-0.4793835,M1: comp    ,0.795
17301,24436,34085,1713,, 19Bet Ori,Rigel,5.24229756,-8.2016392,236.966825,0.18,-6.6934377,B8Ia        ,-0.03
27267,37279,61421,2943,Gl 280  A, 10Alp CMi,Procyon,7.65514946,5.22750767,3.49735949,0.4,2.68129862,F5IV-V      ,0.432
5297,7588,10144,472,,   Alp Eri,Achernar,1.62854213,-57.23666,44.0917108,0.45,-2.7717847,B3Vp        ,-0.158
19984,27989,39801,2061,, 58Alp Ori,Betelgeuse,5.91952477,7.40703634,131.061599,0.45,-5.1373773,M2Ib        ,1.5
49969,68702,122451,5267,,   Bet Cen,Hadar,14.0637346,-60.372978,161.030596,0.61,-5.424542,B1III       ,-0.231
70683,97649,187642,7557,Gl 768   , 53Alp Aql,Altair,19.8463006,8.86738491,5.1429747,0.76,2.20392806,A7IV-V      ,0.221
44632,60718,108248,4730,,   Alp1Cru,Acrux,12.4433171,-63.099056,98.3284169,0.77,-4.1933952,B0.5IV      ,-0.243
15108,21421,29139,1457,Gl 171.1A, 87Alp Tau,Aldebaran,4.59866679,16.5097616,19.9640647,0.87,-0.6312448,K5III       ,1.538
86179,0,,,Gl 194  B,,,5.27785134,46.0067086,12.9382844,0.96,0.40061654,  G0 III    ,
47773,65474,116658,5056,, 67Alp Vir,Spica,13.4198902,-11.161245,80.3858521,0.98,-3.5458981,B1V         ,-0.235
58094,80763,148478,6134,, 21Alp Sco,Antares,16.4901299,-26.431946,185.185185,1.06,-5.2780312,M1Ib + B2.5V,1.865
27698,37826,62509,2990,Gl 286   , 78Bet Gem,Pollux,7.75537884,28.0263103,10.3369857,1.16,1.08803042,K0IIIvar    ,0.991
82291,113368,216956,8728,Gl 881   , 24Alp PsA,Fomalhaut,22.9607849,-29.621837,7.68757688,1.17,1.74105264,A3V         ,0.145
45767,62434,111123,4853,,   Bet Cru,,12.7953664,-59.688732,108.108108,1.25,-3.9192913,B0.5III     ,-0.238
74084,102098,197345,7924,, 50Alp Cyg,Deneb,20.6905315,45.2803342,990.09901,1.25,-8.7283931,A2Ia        ,0.092
51923,71681,128621,5460,Gl 559  B,   Alp2Cen,Rigel Kentaurus B,14.6609419,-60.839471,1.34749097,1.35,5.70237068,K1V         ,0.9
36830,49669,87901,3982,, 32Alp Leo,Regulus,10.1395721,11.9671951,23.7586125,1.36,-0.5191054,B7V         ,-0.087
24404,33579,52089,2618,, 21Eps CMa,Adhara,6.9770963,-28.972089,132.100396,1.5,-4.1045206,B2II        ,-0.211
26923,36850,60179,2891,Gl 278  A, 66Alp Gem,Castor,7.57666793,31.8886365,15.805279,1.58,0.58598917,A2Vm        ,0.034
44890,61084,108903,4763,,   Gam Cru,,12.5194248,-57.112569,26.9614451,1.59,-0.5637158,M4III       ,1.6
61845,85927,158926,6527,, 35Lam Sco,Shaula,17.5601462,-37.103748,215.517241,1.62,-5.0474101,B1.5IV+...  ,-0.231
17947,25336,35468,1790,, 24Gam Ori,Bellatrix,5.41885227,6.34973451,74.5156483,1.64,-2.7212374,B2III       ,-0.224
18021,25428,35497,1791,,112Bet Tau,Alnath,5.43819386,28.6078735,40.1767778,1.65,-1.3698755,B7III       ,-0.13
33465,45238,80007,3685,,   Bet Car,,9.22006688,-69.717472,34.0831629,1.67,-0.9926995,A2IV        ,0.07
18686,26311,37128,1903,, 46Eps Ori,Alnilam,5.60355904,-1.2019173,411.522634,1.69,-6.3819686,B0Ia        ,-0.184
79434,109268,209952,8425,Gl 848.2 ,   Alp Gru,Alnair,22.1371879,-46.960616,31.0945274,1.73,-0.7334198,B7IV        ,-0.07
19013,26727,37742,1948,, 50Zet Ori,Alnitak,5.67931244,-1.9425784,250.626566,1.74,-5.2551355,O9.5Ib SB   ,-0.199
29352,39953,68273,3207,,   Gam2Vel,,8.15887648,-47.336612,257.731959,1.75,-5.3058414,WC8 + O9I   ,-0.145
46117,62956,112185,4905,, 77Eps UMa,Alioth,12.9004536,55.959843,24.8138958,1.76,-0.2134748,A0p         ,-0.022
11142,15863,20902,1017,, 33Alp Per,Mirphak,3.40537459,49.8612428,181.488203,1.79,-4.504242,F5Ib        ,0.481
64997,90185,169022,6879,, 20Eps Sgr,Kaus Australis,18.402874,-34.384315,44.345898,1.79,-1.4442673,B9.5III     ,-0.031
40027,54061,95689,4301,, 50Alp UMa,Dubhe,11.0621769,61.7511189,37.9075057,1.81,-1.083626,F7V comp    ,1.061
25082,34444,54605,2693,, 25Del CMa,,7.13985723,-26.393208,549.45055,1.83,-6.8696431,F8Ia        ,0.671
49038,67301,120315,5191,, 85Eta UMa,Alkaid,13.7923739,49.3133029,30.8737265,1.85,-0.5979453,B3V SB      ,-0.099
30188,41037,71129,3307,,   Eps Car,,8.37524019,-59.509538,193.79845,1.86,-4.5767515,K3III+B2V   ,1.196
62069,86228,159532,6553,,   The Sco,,17.6219794,-42.997822,83.4028357,1.86,-2.7459041,F1II        ,0.406
20254,28360,40183,2088,NN 3375  , 34Bet Aur,,5.99215817,44.9474349,25.1762336,1.9,-0.1049538,A2V         ,0.077
59165,82273,150798,6217,,   Alp TrA,,16.8110738,-69.027635,127.388535,1.91,-3.6156517,K2IIb-IIIa  ,1.447
22916,31681,47105,2421,, 24Gam Gem,Alhena,6.62852842,16.3994148,32.1336761,1.93,-0.6048021,A0IV        ,0.001
31663,42913,74956,3485,Gl 321.3A,   Del Vel,,8.7450548,-54.708568,24.4498778,1.93,-0.0113835,A1V         ,0.043
73075,100751,193924,7790,,   Alp Pav,,20.4274582,-56.734881,56.1797753,1.94,-1.8079,B2IV        ,-0.118
8222,11767,8890,424,,  1Alp UMi,Polaris,2.52974312,89.2641381,132.275132,1.97,-3.637391,F7:Ib-IIv SB,0.636
21842,30324,44743,2294,,  2Bet CMa,,6.37832983,-17.955917,153.139357,1.98,-3.9454341,B1II/III    ,-0.24
34371,46390,81797,3748,, 30Alp Hya,Alphard,9.45979217,-8.6586834,54.3478261,1.99,-1.6859109,K3III       ,1.44
6888,9884,12929,617,Gl  84.3 , 13Alp Ari,Hamal,2.11952383,23.4627774,20.2101859,2.01,0.48214846,K2III       ,1.151
37506,50583,89484,4057,, 41Gam1Leo,Algieba,10.3328227,19.8418603,38.5208012,2.01,-0.9184766,K0III       ,1.128
